id;bin_label;newick;organism
1;terpene;"((1645:0.18470,1:0.09708)1.00:0.01506,(((7938:0.03309,4889:0.03905)1.00:0.05389,8125:0.06918)1.00:0.04906,(5960:0.00000,(7745:0.00065,(5752:0.00326,2105:0.00176):0.00338)0.97:0.00214)0.82:0.06327)1.00:0.05777):0.00000;";Hexnit1
1;terpene;"((1645:0.18470,1:0.09708)1.00:0.01506,(((7938:0.03309,4889:0.03905)1.00:0.05389,8125:0.06918)1.00:0.04906,(5960:0.00000,(7745:0.00065,(5752:0.00326,2105:0.00176):0.00338)0.97:0.00214)0.82:0.06327)1.00:0.05777):0.00000;";Dicsqu463
1;terpene;"((1645:0.18470,1:0.09708)1.00:0.01506,(((7938:0.03309,4889:0.03905)1.00:0.05389,8125:0.06918)1.00:0.04906,(5960:0.00000,(7745:0.00065,(5752:0.00326,2105:0.00176):0.00338)0.97:0.00214)0.82:0.06327)1.00:0.05777):0.00000;";Ganluc1
1;terpene;"((1645:0.18470,1:0.09708)1.00:0.01506,(((7938:0.03309,4889:0.03905)1.00:0.05389,8125:0.06918)1.00:0.04906,(5960:0.00000,(7745:0.00065,(5752:0.00326,2105:0.00176):0.00338)0.97:0.00214)0.82:0.06327)1.00:0.05777):0.00000;";Dicsqu18370
1;terpene;"((1645:0.18470,1:0.09708)1.00:0.01506,(((7938:0.03309,4889:0.03905)1.00:0.05389,8125:0.06918)1.00:0.04906,(5960:0.00000,(7745:0.00065,(5752:0.00326,2105:0.00176):0.00338)0.97:0.00214)0.82:0.06327)1.00:0.05777):0.00000;";Dicsq1
2;terpene;"(((7180:0.08527,5255:0.02601)1.00:0.08258,((7636:0.08319,6633:0.04930)0.82:0.02023,(3803:0.00000,292:0.00000):0.09340)1.00:0.03751):0.01329,4767:0.18114):0.00000;";Earsca1
1;terpene;"((1645:0.18470,1:0.09708)1.00:0.01506,(((7938:0.03309,4889:0.03905)1.00:0.05389,8125:0.06918)1.00:0.04906,(5960:0.00000,(7745:0.00065,(5752:0.00326,2105:0.00176):0.00338)0.97:0.00214)0.82:0.06327)1.00:0.05777):0.00000;";Dicsqu464
1;terpene;"((1645:0.18470,1:0.09708)1.00:0.01506,(((7938:0.03309,4889:0.03905)1.00:0.05389,8125:0.06918)1.00:0.04906,(5960:0.00000,(7745:0.00065,(5752:0.00326,2105:0.00176):0.00338)0.97:0.00214)0.82:0.06327)1.00:0.05777):0.00000;";Ganleu1
2;terpene;"(((7180:0.08527,5255:0.02601)1.00:0.08258,((7636:0.08319,6633:0.04930)0.82:0.02023,(3803:0.00000,292:0.00000):0.09340)1.00:0.03751):0.01329,4767:0.18114):0.00000;";Lenti7
2;terpene;"(((7180:0.08527,5255:0.02601)1.00:0.08258,((7636:0.08319,6633:0.04930)0.82:0.02023,(3803:0.00000,292:0.00000):0.09340)1.00:0.03751):0.01329,4767:0.18114):0.00000;";Lenti6
2;terpene;"(((7180:0.08527,5255:0.02601)1.00:0.08258,((7636:0.08319,6633:0.04930)0.82:0.02023,(3803:0.00000,292:0.00000):0.09340)1.00:0.03751):0.01329,4767:0.18114):0.00000;";Epityp1
2;terpene;"(((7180:0.08527,5255:0.02601)1.00:0.08258,((7636:0.08319,6633:0.04930)0.82:0.02023,(3803:0.00000,292:0.00000):0.09340)1.00:0.03751):0.01329,4767:0.18114):0.00000;";Gansp1
2;terpene;"(((7180:0.08527,5255:0.02601)1.00:0.08258,((7636:0.08319,6633:0.04930)0.82:0.02023,(3803:0.00000,292:0.00000):0.09340)1.00:0.03751):0.01329,4767:0.18114):0.00000;";Fomfom1
2;terpene;"(((7180:0.08527,5255:0.02601)1.00:0.08258,((7636:0.08319,6633:0.04930)0.82:0.02023,(3803:0.00000,292:0.00000):0.09340)1.00:0.03751):0.01329,4767:0.18114):0.00000;";Ganbon1
3;terpene;"((1928:0.10434,852:0.07958):0.01964,(2592:0.08553,1872:0.11177)0.96:0.01221):0.00000;";Trapol1
3;terpene;"((1928:0.10434,852:0.07958):0.01964,(2592:0.08553,1872:0.11177)0.96:0.01221):0.00000;";Pycpun1
3;terpene;"((1928:0.10434,852:0.07958):0.01964,(2592:0.08553,1872:0.11177)0.96:0.01221):0.00000;";Trabet1
4;terpene;"(((6886:0.03608,5980:0.02127)1.00:0.10121,6513:0.10556):0.01513,(((1960:0.00336,6785:0.00246)1.00:0.02688,2318:0.02986)1.00:0.10236,7400:0.10666)0.99:0.01983):0.00000;";Trapub1
3;terpene;"((1928:0.10434,852:0.07958):0.01964,(2592:0.08553,1872:0.11177)0.96:0.01221):0.00000;";Tralj1
4;terpene;"(((6886:0.03608,5980:0.02127)1.00:0.10121,6513:0.10556):0.01513,(((1960:0.00336,6785:0.00246)1.00:0.02688,2318:0.02986)1.00:0.10236,7400:0.10666)0.99:0.01983):0.00000;";Tralac1
4;terpene;"(((6886:0.03608,5980:0.02127)1.00:0.10121,6513:0.10556):0.01513,(((1960:0.00336,6785:0.00246)1.00:0.02688,2318:0.02986)1.00:0.10236,7400:0.10666)0.99:0.01983):0.00000;";Tramax1
4;terpene;"(((6886:0.03608,5980:0.02127)1.00:0.10121,6513:0.10556):0.01513,(((1960:0.00336,6785:0.00246)1.00:0.02688,2318:0.02986)1.00:0.10236,7400:0.10666)0.99:0.01983):0.00000;";Traver1
4;terpene;"(((6886:0.03608,5980:0.02127)1.00:0.10121,6513:0.10556):0.01513,(((1960:0.00336,6785:0.00246)1.00:0.02688,2318:0.02986)1.00:0.10236,7400:0.10666)0.99:0.01983):0.00000;";Tramen1
4;terpene;"(((6886:0.03608,5980:0.02127)1.00:0.10121,6513:0.10556):0.01513,(((1960:0.00336,6785:0.00246)1.00:0.02688,2318:0.02986)1.00:0.10236,7400:0.10666)0.99:0.01983):0.00000;";Artele1122
5;terpene;"((8592:0.03196,8451:0.02723):0.09275,8696:0.12471):0.00000;";Polar1
1;terpene;"((1645:0.18470,1:0.09708)1.00:0.01506,(((7938:0.03309,4889:0.03905)1.00:0.05389,8125:0.06918)1.00:0.04906,(5960:0.00000,(7745:0.00065,(5752:0.00326,2105:0.00176):0.00338)0.97:0.00214)0.82:0.06327)1.00:0.05777):0.00000;";Tragib1
4;terpene;"(((6886:0.03608,5980:0.02127)1.00:0.10121,6513:0.10556):0.01513,(((1960:0.00336,6785:0.00246)1.00:0.02688,2318:0.02986)1.00:0.10236,7400:0.10666)0.99:0.01983):0.00000;";Trave1
5;terpene;"((8592:0.03196,8451:0.02723):0.09275,8696:0.12471):0.00000;";Pycco1
1;terpene;"((1645:0.18470,1:0.09708)1.00:0.01506,(((7938:0.03309,4889:0.03905)1.00:0.05389,8125:0.06918)1.00:0.04906,(5960:0.00000,(7745:0.00065,(5752:0.00326,2105:0.00176):0.00338)0.97:0.00214)0.82:0.06327)1.00:0.05777):0.00000;";Gansi1
5;terpene;"((8592:0.03196,8451:0.02723):0.09275,8696:0.12471):0.00000;";Polsqu1
6;terpene;"(((4306:0.05443,6037:0.04430)1.00:0.08364,(7753:0.00290,5:0.00000)1.00:0.10196)1.00:0.16611,((2960:0.20697,1141:0.04573)1.00:0.07438,((7376:0.00108,4599:0.00072)1.00:0.09069,7813:0.18707):0.07225)1.00:0.02284):0.00000;";Dicsqu464
6;terpene;"(((4306:0.05443,6037:0.04430)1.00:0.08364,(7753:0.00290,5:0.00000)1.00:0.10196)1.00:0.16611,((2960:0.20697,1141:0.04573)1.00:0.07438,((7376:0.00108,4599:0.00072)1.00:0.09069,7813:0.18707):0.07225)1.00:0.02284):0.00000;";Trapub1
7;terpene;"((((1980:0.11185,3595:0.05632)0.81:0.01538,2238:0.06797)1.00:0.05610,(4422:0.00148,(5065:0.00352,(4997:0.00057,1214:0.00000):0.00766)1.00:0.00333)0.78:0.10664)1.00:0.03509,((6577:0.02687,1976:0.05679)1.00:0.04763,1069:0.05012)1.00:0.11400):0.00000;";Gansp1
7;terpene;"((((1980:0.11185,3595:0.05632)0.81:0.01538,2238:0.06797)1.00:0.05610,(4422:0.00148,(5065:0.00352,(4997:0.00057,1214:0.00000):0.00766)1.00:0.00333)0.78:0.10664)1.00:0.03509,((6577:0.02687,1976:0.05679)1.00:0.04763,1069:0.05012)1.00:0.11400):0.00000;";Ganleu1
8;terpene;"(8262:1.12675,((8756:0.03323,7172:0.04738)0.96:0.07229,(((2896:0.32795,8467:0.08608)0.95:0.03869,8952:0.07176)0.36:0.02109,6109:0.12554):0.02778)0.86:0.35562):0.00000;";Hexnit1
6;terpene;"(((4306:0.05443,6037:0.04430)1.00:0.08364,(7753:0.00290,5:0.00000)1.00:0.10196)1.00:0.16611,((2960:0.20697,1141:0.04573)1.00:0.07438,((7376:0.00108,4599:0.00072)1.00:0.09069,7813:0.18707):0.07225)1.00:0.02284):0.00000;";Artele1122
6;terpene;"(((4306:0.05443,6037:0.04430)1.00:0.08364,(7753:0.00290,5:0.00000)1.00:0.10196)1.00:0.16611,((2960:0.20697,1141:0.04573)1.00:0.07438,((7376:0.00108,4599:0.00072)1.00:0.09069,7813:0.18707):0.07225)1.00:0.02284):0.00000;";Gansi1
7;terpene;"((((1980:0.11185,3595:0.05632)0.81:0.01538,2238:0.06797)1.00:0.05610,(4422:0.00148,(5065:0.00352,(4997:0.00057,1214:0.00000):0.00766)1.00:0.00333)0.78:0.10664)1.00:0.03509,((6577:0.02687,1976:0.05679)1.00:0.04763,1069:0.05012)1.00:0.11400):0.00000;";Dicsq1
